title,type,source,episodes,status,rating,background,producer,studio,duration_min,aired_from_year,genre
"""Parade"" de Satie",Movie,Original,1,Finished Airing,G - All Ages,"French composer Erik Satie (1866-1925) created the ballet music piece ""Parade"" in 1916, at the age of 50, and it was first performed in 1917, with Jean Cocteau and Pablo Picasso taking part to its creation on the scene. The ballet was introduced by the poet Guillaume Apollinaire, who described it by using the term ""surrealism"" for the very first time. Mixing quotes from Satie&rsquo;s essays with the music performed by a Dutch jazz band, the Willem Breuker Kollektief, this film is an animated re-creation of ""realist ballet"" images going beyond reality.",,"Yamamura Animation, Inc.",14,2016,Music
Major S6,TV,Manga,25,Finished Airing,PG-13 - Teens 13 or older,,NHK,SynergySP,24,2010,Comedy
Nana,TV,Manga,47,Finished Airing,R+ - Mild Nudity,"Nana was also adapted into two successful live action films in 2006, starring Mika Nakashima and Aoi Miyazaki. The manga won the Shogakukan Manga Award for shoujo and it sold more than 40 million copies to this date.",VAP,Madhouse,23,2006,Music
Luck & Logic,TV,Card game,12,Finished Airing,PG-13 - Teens 13 or older,,Bandai Visual,Doga Kobo,24,2016,Action
Burn Up Excess,TV,Original,13,Finished Airing,PG-13 - Teens 13 or older,,AIC,Magic Bus,25,1997,Action
Lupin III: Nusumareta Lupin,Special,Manga,1,Finished Airing,PG-13 - Teens 13 or older,,,TMS Entertainment,91,2004,Action
Neko no Robu,TV,Original,0,Currently Airing,G - All Ages,,Gakken,Kachidoki Studio,1,2017,Comedy
Okusama ga Seitokaichou! OVA: Okusama Gekijou,Special,Manga,7,Finished Airing,PG-13 - Teens 13 or older,,,Seven,0.566666667,2016,Comedy
Seikai no Senki Special,Special,Light novel,1,Finished Airing,PG-13 - Teens 13 or older,,Bandai Visual,Sunrise,120,2001,Action
HeatGuy J Special,Special,Original,1,Finished Airing,PG-13 - Teens 13 or older,,Bandai Visual,Satelight,25,2003,Action
Junk Boy,OVA,Manga,1,Finished Airing,R+ - Mild Nudity,,Victor Entertainment,Madhouse,45,1987,Comedy
Maze_Bakunetsu Jikuu (TV),TV,Manga,25,Finished Airing,PG-13 - Teens 13 or older,,Kadokawa Shoten,J.C.Staff,24,1997,Adventure
Tantei Opera Milky Holmes: Summer Special,Special,Card game,1,Finished Airing,PG-13 - Teens 13 or older,,Bushiroad,J.C.Staff,25,2011,Comedy
MapleStory Special,Special,Game,1,Finished Airing,PG - Children,,,"Madhouse, Nexus",21,2008,Action
Romeo no Aoi Sora,TV,Novel,33,Finished Airing,PG-13 - Teens 13 or older,Romeo no Aoi Sora is based on the 1941 German novel Die schwarzen Br&uuml;der by Lisa Tetzner.,,Nippon Animation,23,1995,Adventure
Crusher Joe,Movie,Manga,1,Finished Airing,R+ - Mild Nudity,Crusher Joe won the 1983 Animage Anime Grand Prix Award.,Studio Nue,Sunrise,131,1983,Action
Saiki Kusuo no _-nan (TV),TV,Manga,120,Finished Airing,PG-13 - Teens 13 or older,"Saiki Kusuo no &Psi;-nan aired weekly from Monday to Friday short 5 minute episodes in the morning block until November 4, 2016. A full episode every Sunday night followed the morning block short, but later became the main broadcast time.",TV Tokyo,"J.C.Staff, Egg Firm",5,2016,Slice of Life
Crayon Shin-chan Movie 22: Gachinko! Gyakushuu no Robo To-chan,Movie,Manga,1,Finished Airing,G - All Ages,,Futabasha,Shin-Ei Animation,96,2014,Sci-Fi
Nar Doma Special,Special,Web manga,1,Finished Airing,PG-13 - Teens 13 or older,,comico,Kachidoki Studio,0,2015,Comedy
Owari no Seraph: Nagoya Kessen-hen,TV,Manga,12,Finished Airing,R - 17+ (violence & profanity),,NBCUniversal Entertainment Japan,Wit Studio,23,2015,Action
Pretty Rhythm: Rainbow Live,TV,Game,51,Finished Airing,PG - Children,,TV Tokyo,"Tatsunoko Production, Dongwoo A&amp;E",21,2013,Slice of Life
Kara no Kyoukai 8: Shuushou,Special,Light novel,1,Finished Airing,PG-13 - Teens 13 or older,,,ufotable,33,2011,Mystery
Seitokai no Ichizon,TV,Light novel,12,Finished Airing,PG-13 - Teens 13 or older,,AMG MUSIC,Studio Deen,24,2009,Harem
Saiki Kusuo no _-nan (TV) 2,TV,Manga,24,Currently Airing,PG-13 - Teens 13 or older,,TV Tokyo,"J.C.Staff, Egg Firm",24,2018,Slice of Life
Pokemon Diamond & Pearl,TV,Game,191,Finished Airing,PG - Children,"In the US, the second season of Pokemon: Diamond and Pearl is called Pokemon: Battle Dimension (Pokemon Season 11).",TV Tokyo,OLM,23,2006,Action
Sora no Otoshimono: Forte,TV,Manga,12,Finished Airing,PG-13 - Teens 13 or older,"The first episode was aired during a special event on Sunday, September 19, 2010 in Laforet Museum Roppongi, Tokyo. The television broadcast started on October 2, 2010.",Kadokawa Shoten,AIC A.S.T.A.,23,2010,Comedy
Pokemon Diamond & Pearl: Clip Show,Special,Game,1,Finished Airing,PG - Children,,TV Tokyo,OLM,24,2006,Action
Dennou Coil,TV,Original,26,Finished Airing,G - All Ages,One of the awards won by the series was the Seiun Award in 2008 for the Best Dramatic Presentation category.,Bandai Visual,Madhouse,25,2007,Adventure
Haunted Junction,TV,Manga,12,Finished Airing,PG-13 - Teens 13 or older,,,Studio Deen,24,1997,Comedy
Boku wa Konomama Kaeranai,OVA,Manga,1,Finished Airing,PG-13 - Teens 13 or older,,Soft Garage,J.C.Staff,30,1994,Drama
xxxHOLiC Kei,TV,Manga,13,Finished Airing,PG-13 - Teens 13 or older,,Hal Film Maker,Production I.G,24,2008,Mystery
Princess Nine: Kisaragi Joshikou Yakyuubu,TV,Original,26,Finished Airing,PG-13 - Teens 13 or older,,NHK,Phoenix Entertainment,25,1998,Sports
Sekai de Ichiban Tsuyoku Naritai!,TV,Manga,12,Finished Airing,R+ - Mild Nudity,,Movic,Arms,23,2013,Action
Yakumo Tatsu,OVA,Manga,2,Finished Airing,PG-13 - Teens 13 or older,,Bandai Visual,Studio Pierrot,29,1997,Adventure
Ghost in the Shell: Stand Alone Complex 2nd GIG,TV,Manga,26,Finished Airing,R - 17+ (violence & profanity),,Bandai Visual,Production I.G,25,2004,Action
Nineko Gel_e,ONA,Original,0,Currently Airing,PG-13 - Teens 13 or older,,,DLE,6,2016,Fantasy
Shin KoihimeÊMusou,TV,Visual novel,12,Finished Airing,R+ - Mild Nudity,,Marvelous,Doga Kobo,25,2009,Comedy
Strike the Blood II,OVA,Light novel,8,Finished Airing,R+ - Mild Nudity,,Movic,"Silver Link., Connect",25,2016,Action
Tamayura: Sotsugyou Shashin Part 2 - Hibiki,Movie,Original,1,Finished Airing,G - All Ages,,Shochiku,TYO Animations,52,2015,Comedy
Backkom Meogeujan Yeohaeng,Movie,Original,1,Finished Airing,G - All Ages,,,RG Animation Studios,76,2007,Magic
Majin Tantei Nougami Neuro,TV,Manga,25,Finished Airing,R - 17+ (violence & profanity),,VAP,Madhouse,23,2007,Mystery
Kobato.,TV,Manga,24,Finished Airing,PG-13 - Teens 13 or older,,NHK,Madhouse,24,2009,Comedy
Grimm Masterpiece Theater II,TV,Other,23,Finished Airing,G - All Ages,,,Nippon Animation,20,1988,Adventure
One Room,TV,Original,12,Finished Airing,PG-13 - Teens 13 or older,,Smiral Animation,TYPHOON GRAPHICS,4,2017,Slice of Life
Shouwa Ahozoushi Akanuke Ichiban!,TV,Manga,22,Finished Airing,PG-13 - Teens 13 or older,,TV Asahi,Tatsunoko Production,25,1985,Comedy
Inazuma Eleven Go: Chrono Stone,TV,Game,51,Finished Airing,G - All Ages,The series won the 2012 Animage&#039;s Anime Grand Prix Award.,,OLM,23,2012,Sports
Megumi to Taiyou: Kajuu Gummi Tweet Love Story,Special,Original,1,Finished Airing,G - All Ages,,,Madhouse,3,2011,Romance
Tentai Senshi Sunred 2nd Season,TV,Manga,26,Finished Airing,PG-13 - Teens 13 or older,,flying DOG,AIC A.S.T.A.,13,2009,Comedy
Kakyuusei 2: Hitomi no Naka no Shoujo-tachi,TV,Visual novel,13,Finished Airing,PG-13 - Teens 13 or older,,Soft Garage,Arms,24,2004,Comedy
Chibi Maruko-chan (1995),TV,Manga,0,Currently Airing,G - All Ages,,Sakura Production,Nippon Animation,23,1995,Comedy
Kuroko no Basket 2nd Season,TV,Manga,25,Finished Airing,PG-13 - Teens 13 or older,,Bandai Visual,Production I.G,24,2013,Comedy
Mujin Wakusei Survive,TV,Original,52,Finished Airing,G - All Ages,,,"Madhouse, Telecom Animation Film",25,2003,Action
Mei to Koneko Bus,Special,Original,1,Finished Airing,G - All Ages,,,Studio Ghibli,14,2002,Adventure
Kidou Senkan Nadesico: The Prince of Darkness,Movie,Original,1,Finished Airing,R - 17+ (violence & profanity),The series won the 1998 Animage&#039;s Anime Grand Prix Award.,TV Tokyo,Xebec,79,1998,Action
Makai Ouji: Devils and Realist,TV,Manga,12,Finished Airing,PG-13 - Teens 13 or older,"Makai Ouji: Devils and Realist was licensed as Devils and Realist for an English release by Sentai Filmworks. It was released on March 3rd, 2015 on both DVD and Blu Ray. It is currently streaming on Crunchyroll, Hulu and Sentai Filmworks official anime streaming site, The Anime Network.",TV Tokyo,Doga Kobo,24,2013,Mystery
Maburaho,TV,Light novel,24,Finished Airing,R+ - Mild Nudity,,Kadokawa Shoten,J.C.Staff,24,2003,Comedy
Tales of the Rays,ONA,Game,1,Finished Airing,G - All Ages,,,Wit Studio,1,2017,Fantasy
Peach Command Shin Momotarou Densetsu,TV,Game,24,Finished Airing,G - All Ages,,TV Tokyo,Knack Productions,25,1990,Adventure
Hanada Shounen-shi,TV,Manga,25,Finished Airing,R - 17+ (violence & profanity),"In 2003, the anime received the Tokyo International Anime Festival Grand Prize for the TV Anime category.",VAP,Madhouse,25,2002,Supernatural
Cyborg 009: Call of Justice 3,Movie,Manga,1,Finished Airing,PG - Children,,,"OLM Digital, Signal. MD",120,2016,Action
Mouryou no Hako,TV,Novel,13,Finished Airing,R - 17+ (violence & profanity),,VAP,Madhouse,23,2008,Mystery
Saishuu Chikan Densha Next,OVA,Visual novel,2,Finished Airing,Rx - Hentai,,Pink Pineapple,Office Takeout,30,2012,Hentai
Sin: Nanatsu no Taizai Zange-roku,ONA,Other,12,Finished Airing,R+ - Mild Nudity,,,"Artland, TNK",1,2017,Ecchi
Interlude,OVA,Visual novel,3,Finished Airing,R - 17+ (violence & profanity),,Happinet Pictures,Toei Animation,40,2004,Adventure
Poputepipikku,TV,4-koma manga,12,Finished Airing,PG-13 - Teens 13 or older,Poputepipikku is based on bkub Ookawa&#039;s 4-koma manga series of the same title. Each episode consists of a 12-minute segment repeated twice. The repeated segment contains a different voiceover by another voice actor with variations on the skits.,King Records,Kamikaze Douga,12,2018,Comedy
The iDOLM@STER,TV,Game,25,Finished Airing,PG-13 - Teens 13 or older,,Aniplex,A-1 Pictures,24,2011,Comedy
Mahoutsukai no Yome Recap,Special,Manga,1,Finished Airing,PG-13 - Teens 13 or older,,Production I.G,Wit Studio,24,2017,Slice of Life
Toji no Miko,TV,Original,24,Currently Airing,PG-13 - Teens 13 or older,,Square Enix,Studio Gokumi,23,2018,Action
Angel Heart,TV,Manga,50,Finished Airing,PG-13 - Teens 13 or older,,Aniplex,TMS Entertainment,23,2005,Action
Princess Rouge,OVA,Original,2,Finished Airing,PG-13 - Teens 13 or older,,Front Line,J.C.Staff,28,1997,Fantasy
Usavich II,TV,Original,13,Finished Airing,PG-13 - Teens 13 or older,,,Kanaban Graphics,1,2007,Adventure
Junjou Shoujo Et Cetera,OVA,Manga,2,Finished Airing,Rx - Hentai,,Pashmina,Studio 1st,21,2013,Hentai
Otome Dori,OVA,Manga,2,Finished Airing,Rx - Hentai,,Mary Jane,Seven,20,2012,Hentai
Ghost in the Shell: The New Movie Virtual Reality Diver,Special,Manga,1,Finished Airing,R+ - Mild Nudity,,,Production I.G,10,2016,Police
Sora Iro no Tane,Special,Picture book,1,Finished Airing,PG - Children,,,Studio Ghibli,1,1992,Kids
"Ore ga Ojousama Gakkou ni ""Shomin Sample"" Toshite Gets_Sareta Ken Specials",Special,Light novel,6,Finished Airing,PG-13 - Teens 13 or older,,,Silver Link.,3,2016,Comedy
PriPri Chii-chan!!,TV,Manga,36,Finished Airing,G - All Ages,,,OLM,12,2017,Sci-Fi
K_mpfer Picture Drama,Special,Light novel,1,Finished Airing,PG-13 - Teens 13 or older,,,Nomad,11,2009,Comedy
Mouretsu Pirates,TV,Light novel,26,Finished Airing,PG-13 - Teens 13 or older,,Starchild Records,Satelight,24,2012,Sci-Fi
Kai Doh Maru,OVA,Original,1,Finished Airing,R - 17+ (violence & profanity),,Aniplex,Production I.G,46,2001,Action
Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,TV,Game,12,Finished Airing,R - 17+ (violence & profanity),,,Lerche,24,2016,Action
Uchuu Neko: Mardock no Bouken,ONA,Original,4,Finished Airing,G - All Ages,,Craftar,Asura Film,2,2016,Adventure
Go! Princess Precure,TV,Original,50,Finished Airing,G - All Ages,,,Toei Animation,24,2015,Action
Samurai 7,TV,Other,26,Finished Airing,PG-13 - Teens 13 or older,,GDH,Gonzo,26,2004,Historical
Bleach Colorful!: Gotei Juusan Yatai Daisakusen!,OVA,Manga,1,Finished Airing,PG-13 - Teens 13 or older,,,Studio Pierrot,12,2008,Comedy
D-Frag!,TV,Manga,12,Finished Airing,PG-13 - Teens 13 or older,D-Frag! adapts content from the first 5 volumes of Tomoya Haruno&#039;s manga of the same name.,TV Tokyo,Brain&#039;s Base,24,2014,Game
Divergence Eve 2: Misaki Chronicles,TV,Original,13,Finished Airing,PG-13 - Teens 13 or older,,Imagica,Radix,24,2004,Adventure
Canary,OVA,Visual novel,1,Finished Airing,PG-13 - Teens 13 or older,,,SOEISHINSHA,24,2002,Fantasy
Anime Sanjuushi: Aramis no Bouken,Movie,Novel,1,Finished Airing,G - All Ages,,NHK,Studio Gallop,45,1989,Adventure
Bloody Bunny,TV,Other,26,Finished Airing,PG-13 - Teens 13 or older,,,Kachidoki Studio,1,2012,Comedy
Strike Witches: Operation Victory Arrow,OVA,Original,3,Finished Airing,R+ - Mild Nudity,,501st JOINT FIGHTER WING,Silver Link.,28,2014,Action
Dantalian no Shoka: Ibarahime,OVA,Light novel,1,Finished Airing,PG-13 - Teens 13 or older,,TV Tokyo,Gainax,24,2012,Action
Aku no Hana,TV,Manga,13,Finished Airing,R - 17+ (violence & profanity),"Pre-screened on March 20, 2013 at the Tokyo International Anime Fair. The regular TV airing date was on April 5, 2013.",Starchild Records,Zexcs,24,2013,Drama
Happy Jozy,TV,Original,0,Finished Airing,None,Happy Jozy is broadcast within the program Animusu! on TV Tokyo.,Sotsu,Kachidoki Studio,1,2015,Comedy
Haikyuu!! Second Season,TV,Manga,25,Finished Airing,PG-13 - Teens 13 or older,"Haikyuu!! Second Season is the sequel to the first anime adaptation of the ongoing manga of the same name, Haikyuu!!, which was ranked in 4th place in Honya Club&#039;s prestigious &#039;Zenkoku Shotenin ga Eranda Osusume Comic&#039; ranking in 2013. Sentai Filmworks has announced their exclusive licensing rights for digital and home release in North America.",TOHO animation,Production I.G,24,2015,Comedy
Pankis! 2-jigen,TV,Original,24,Finished Airing,G - All Ages,,,DLE,4,2015,Comedy
Beatless Intermission,Special,Novel,0,Currently Airing,PG-13 - Teens 13 or older,,,Diomedea,24,2018,Action
Aware! Meisaku-kun: Meiji Saite Oishii Mozzarella,Special,Original,1,Finished Airing,G - All Ages,,,Pie in The Sky,2,2017,Comedy
Liz to Aoi Tori,Movie,Novel,1,Finished Airing,PG-13 - Teens 13 or older,,Lantis,Kyoto Animation,90,2018,Music
Pokemon Diamond & Pearl Specials,Special,Game,2,Finished Airing,PG - Children,,,OLM,24,2011,Action
Sister Princess,TV,Light novel,26,Finished Airing,PG-13 - Teens 13 or older,,Starchild Records,Zexcs,23,2001,Comedy
Vampire Knight,TV,Manga,13,Finished Airing,PG-13 - Teens 13 or older,"Vampire Knight was released by Manga Entertainment in the UK and by Madman Entertainment in Australia. Vampire Knight is available for streaming on Hulu and Netflix. Additionally, the anime has been adapted into drama CDs, live-action musicals, dating simulators and art books.æ",TV Tokyo,Studio Deen,24,2008,Drama
Working&#039;!! Announcement Specials,ONA,4-koma manga,2,Finished Airing,G - All Ages,,,A-1 Pictures,2,2011,Comedy
Bakusou Kyoudai Let&#039;s & Go Special,Special,Manga,1,Finished Airing,G - All Ages,,,"Production I.G, Xebec",95,1997,Adventure
Naruto SD: Rock Lee no Seishun Full-Power Ninden,TV,Manga,51,Finished Airing,PG-13 - Teens 13 or older,,TV Tokyo,Studio Pierrot,24,2012,Action
Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.,TV,Light novel,12,Finished Airing,R+ - Mild Nudity,The series adapts the first 3 volumes of Jun Sakyou&#039;s light novel series of the same title.,Lantis,Asread,24,2013,Comedy
Tamashichi!,ONA,Original,1,Finished Airing,G - All Ages,,,C2C,3,2015,Slice of Life
Slayers Evolution-R,TV,Light novel,13,Finished Airing,PG-13 - Teens 13 or older,,,J.C.Staff,24,2009,Adventure
Oh! Super Milk-chan,TV,Original,12,Finished Airing,R - 17+ (violence & profanity),,Pioneer LDC,Studio Pierrot,21,2000,Action
Aoki Hagane no Arpeggio: Ars Nova Cadenza,Movie,Manga,1,Finished Airing,PG-13 - Teens 13 or older,,Sotsu,SANZIGEN,105,2015,Action
Sexy Commando Gaiden: Sugoiyo!! Masaru-san Specials,Special,Manga,2,Finished Airing,R - 17+ (violence & profanity),,Bandai Visual,Madhouse,8,1998,Comedy
Ninpuu Kamui Gaiden,TV,Manga,26,Finished Airing,R - 17+ (violence & profanity),,Fuji TV,Tele-Cartoon Japan,22,1969,Action
Aa! Megami-sama! (TV),TV,Manga,24,Finished Airing,PG-13 - Teens 13 or older,,Bandai Visual,AIC,24,2005,Comedy
Hatara Kids Mai Ham Gumi,TV,Original,50,Finished Airing,PG - Children,,TV Asahi,Toei Animation,25,2007,Action
Hungry Heart: Wild Striker,TV,Manga,52,Finished Airing,PG-13 - Teens 13 or older,,,Nippon Animation,23,2002,Slice of Life
Quantum Leap,Music,Music,1,Finished Airing,PG-13 - Teens 13 or older,,Avex Entertainment,Production I.G,3,2000,Action
Zombie Clay Animation: I&#039;m Stuck!!,ONA,Original,4,Finished Airing,R - 17+ (violence & profanity),,,Studio Binzo,3,2014,Comedy
Mitsuboshi Colors,TV,Manga,12,Finished Airing,PG-13 - Teens 13 or older,,Frontier Works,Silver Link.,23,2018,Slice of Life
Lupin III: Dead or Alive,Movie,Manga,1,Finished Airing,PG-13 - Teens 13 or older,,VAP,Tokyo Movie Shinsha,97,1996,Action
Phi Brain: Kami no Puzzle,TV,Original,25,Finished Airing,PG-13 - Teens 13 or older,,NHK,Sunrise,25,2011,Action
Kaze no Stigma,TV,Light novel,24,Finished Airing,PG-13 - Teens 13 or older,,,Gonzo,24,2007,Action
Butlers: Chitose Momotose Monogatari,TV,Original,12,Currently Airing,PG-13 - Teens 13 or older,,Lantis,Silver Link.,23,2018,Comedy
Tonari no Totoro,Movie,Original,1,Finished Airing,G - All Ages,"In 1988, Tonari no Totoro won the Best Film and Ofuji Noburo awards in the Mainichi Film Awards, the Special Award in the 31st Blue Ribbon Awards, the Grand Prix in the Animage Anime Awards, and the Best Film and Reader&#039;s Choice Award: Best Japanese Film awards in the Kinema Junpo Awards.",Studio Fantasia,Studio Ghibli,86,1988,Adventure
Q Transformers: Saranaru Ninki Mono e no Michi,TV,Other,13,Finished Airing,PG-13 - Teens 13 or older,,,DLE,3,2015,Slice of Life
Tonari no 801-chan R,OVA,4-koma manga,1,Finished Airing,G - All Ages,,,A-1 Pictures,1,2009,Comedy
Gegege no Kitarou (2018),TV,Manga,0,Currently Airing,G - All Ages,,Yomiko Advertising,Toei Animation,23,2018,Comedy
Rocket Girls,TV,Light novel,12,Finished Airing,PG-13 - Teens 13 or older,,Happinet Pictures,Mook DLE,23,2007,Sci-Fi
Futakoi,TV,Original,13,Finished Airing,PG-13 - Teens 13 or older,,Lantis,Telecom Animation Film,24,2004,Comedy
Urawa no Usagi-chan Special,Special,Original,1,Finished Airing,PG - Children,,,A-Real,3,2015,Comedy
Ikkitousen: Great Guardians,TV,Manga,12,Finished Airing,R+ - Mild Nudity,,Genco,Arms,24,2008,Action
Nyani ga Nyandaa Nyandaa Kamen,TV,Picture book,83,Finished Airing,PG - Children,,,Sunrise,25,2000,Comedy
Kamisama Minarai: Himitsu no Cocotama Movie - Kiseki wo Okose_ Tepple to Dokidoki Cocotama-kai,Movie,Original,1,Finished Airing,PG - Children,The film screened alongside Tamagotchi Movie: Tanpen Himitsu no Otodoke Daisakusen! short.,Lantis,OLM,0,2017,Kids
Money Wars: Nerawareta Waterfront Keikaku,OVA,Original,1,Finished Airing,PG-13 - Teens 13 or older,,,Gainax,45,1991,Seinen
Shonan Junai Gumi!,OVA,Manga,5,Finished Airing,R+ - Mild Nudity,,Japan Home Video,"J.C.Staff, Life Work",46,1994,Action
Hachimitsu to Clover II,TV,Manga,12,Finished Airing,PG-13 - Teens 13 or older,Hachimitsu to Clover II aired on Fuji Television&#039;s noitaminA block.,Genco,J.C.Staff,23,2006,Drama
Wooser no Sono Higurashi: Ken to Pants to Wooser to,Special,Web manga,1,Finished Airing,G - All Ages,,,SANZIGEN,4,2013,Slice of Life
Okawari-Boy Starzan-S,TV,Original,34,Finished Airing,G - All Ages,,,Tatsunoko Production,25,1984,Action
Himesama Goyoujin,TV,Original,12,Finished Airing,G - All Ages,,Bandai Visual,Nomad,24,2006,Comedy
Hundred,TV,Light novel,12,Finished Airing,PG-13 - Teens 13 or older,Hundred adapts the first four novels of Jun Misaki&#039;s light novel series of the same title.,TV Tokyo,Production IMS,24,2016,Action
Nanatsu no Taizai,TV,Manga,24,Finished Airing,PG-13 - Teens 13 or older,"Netflix owns exclusive streaming rights to the series, all episodes were released on November 1, 2015 in both subtitled and dubbed format. Aside from the anime and manga, a video game adaptation and a few light novels also exist.",Aniplex,A-1 Pictures,24,2014,Action
School Rumble,TV,Manga,26,Finished Airing,PG-13 - Teens 13 or older,"Based on the manga serialized in the Weekly Shonen Magazine, drawn by Jin Kobayashi.",TV Tokyo,Studio Comet,23,2004,Comedy
Dragon Ball Z,TV,Manga,291,Finished Airing,PG-13 - Teens 13 or older,"The U.S. version is a dubbed alternative version of the Original Japanese anime. For example, blood has been taken out, beer is called root-beer, dead is called ""Another Universe"" and people emigrate before the destroying of cities. (Source: YouTube movie - Anime History Day)The U.S. version edited and compiled the original for a reduced episode count of 276, instead of the original 291. The proper episode count was later restored on the uncut ""Orange Brick"" Season Set releases by FUNimation Entertainment released from 2006 to 2009. Additionally, the North American ""Orange Brick"" Season Sets as well as the Season Set Blu-rays crop the show from its original 4:3 aspect ratio to 16:9. The only complete 4:3 release ever released in English were the Dragon Boxes which have long since gone out of print.",Fuji TV,Toei Animation,24,1989,Action
Digimon Frontier: Ornismon Fukkatsu!!,Movie,Original,1,Finished Airing,PG - Children,,,Toei Animation,40,2002,Adventure
So Ra No Wo To,TV,Original,12,Finished Airing,PG-13 - Teens 13 or older,"Alongside Seikimatsu Occult Gakuin and Senkou no Night Raid, So Ra No Wo To was part of the ""Anime no Chikara"" project, a project to create more original anime, not based on any existing media.",TV Tokyo,A-1 Pictures,24,2010,Military
H. P. Lovecraft&#039;s The Dunwich Horror and Other Stories,OVA,Novel,1,Finished Airing,PG-13 - Teens 13 or older,,,Toei Animation,46,2007,Horror
Ankoku Cat VS,ONA,Original,3,Finished Airing,G - All Ages,,,Fanworks,5,2011,Action
Futari Ecchi (2014),OVA,Manga,3,Finished Airing,R+ - Mild Nudity,,,Production Reed,26,2014,Comedy
Ladies versus Butlers! Specials,Special,Light novel,6,Finished Airing,R+ - Mild Nudity,,,Xebec,3,2010,Ecchi
Ansatsu Kyoushitsu,TV,Manga,22,Finished Airing,PG-13 - Teens 13 or older,,Dentsu,Lerche,23,2015,Action
Boku wa Tomodachi ga Sukunai,TV,Light novel,12,Finished Airing,R+ - Mild Nudity,"In 2012, Boku wa Tomodachi ga Sukunai Portable, a visual novel by Namco Bandai Games for the Sony PlayStation Portable, was released.A live-action film based strictly on the novels and not the anime was released on February 1, 2014 and directed by Takuro Oikawa.",Media Factory,AIC Build,24,2011,Ecchi
Forsaken,Music,Music,1,Finished Airing,PG-13 - Teens 13 or older,,,Gonzo,5,2008,Music
Kara no Shoujo,OVA,Visual novel,2,Finished Airing,Rx - Hentai,,Milky Animation Label,Flavors Soft,27,2010,Hentai
Baki,OVA,Manga,1,Finished Airing,R - 17+ (violence & profanity),,TMS Entertainment,Telecom Animation Film,15,2016,Action
Kikou Kai Galient,TV,Original,25,Finished Airing,PG-13 - Teens 13 or older,,Nippon Television Network,Sunrise,24,1984,Action
Musaigen no Phantom World: Limitless Phantom World,Special,Light novel,7,Finished Airing,PG-13 - Teens 13 or older,,Lantis,Kyoto Animation,6,2016,Comedy
Buddy Complex,TV,Original,13,Finished Airing,PG-13 - Teens 13 or older,,Bandai Visual,Sunrise,24,2014,Action
Durarara!!x2 Shou: Watashi no Kokoro wa Nabe Moyou,Special,Light novel,1,Finished Airing,R - 17+ (violence & profanity),,,Shuka,23,2015,Action
Arete Hime,Movie,Novel,1,Finished Airing,G - All Ages,,Dentsu,Studio 4ÁC,105,2001,Fantasy
Mouretsu Pirates: Abyss of Hyperspace,Movie,Light novel,1,Finished Airing,PG-13 - Teens 13 or older,,Starchild Records,Satelight,93,2014,Sci-Fi
Kizumonogatari I: Tekketsu-hen,Movie,Light novel,1,Finished Airing,R - 17+ (violence & profanity),,Aniplex,Shaft,64,2016,Mystery
Anyamal Tantei Kiruminzoo,TV,Original,50,Finished Airing,G - All Ages,,Hal Film Maker,Satelight,23,2009,Magic
Pale Cocoon,OVA,Original,1,Finished Airing,PG-13 - Teens 13 or older,,Directions,Studio Rikka,23,2005,Drama
Bokura ga Ita,TV,Manga,26,Finished Airing,PG-13 - Teens 13 or older,,Marvelous,Artland,25,2006,Slice of Life
Star Driver: Kagayaki no Takuto,TV,Original,25,Finished Airing,PG-13 - Teens 13 or older,"There was an advance screening on September 16, 2010. The regular TV broadcast started on October 3, 2010.",Aniplex,Bones,25,2010,Action
Chousoku Henkei Gyrozetter,TV,Game,51,Finished Airing,G - All Ages,,TV Tokyo,A-1 Pictures,25,2012,Action
Heisei Tensai Bakabon,TV,Original,46,Finished Airing,G - All Ages,,Fuji TV,Studio Pierrot,25,1990,Slice of Life
Fate/kaleid liner Prisma_Illya 2wei Herz!,TV,Manga,10,Finished Airing,PG-13 - Teens 13 or older,,Lantis,Silver Link.,23,2015,Action
Waku Waku Koma-chan,ONA,Original,1,Finished Airing,G - All Ages,,,dwarf,12,2016,Adventure
Kiko-chan Smile,TV,Manga,51,Finished Airing,PG-13 - Teens 13 or older,,TBS,Eiken,25,1996,Adventure
Taiho Shichau zo: Full Throttle Special,Special,Manga,1,Finished Airing,PG-13 - Teens 13 or older,,TBS,Studio Deen,21,2008,Action
Persona 3 the Movie 2: Midsummer Knight&#039;s Dream,Movie,Game,1,Finished Airing,R - 17+ (violence & profanity),,Aniplex,A-1 Pictures,98,2014,Action
Macross,TV,Original,36,Finished Airing,PG-13 - Teens 13 or older,,Studio Nue,"Artland, Tatsunoko Production",26,1982,Action
Bary-san no Shokoku Manyuuki,TV,Original,47,Finished Airing,G - All Ages,,Tokyo MX,Kachidoki Studio,0.5,2016,Comedy
Mobile Suit Gundam Wing,TV,Original,49,Finished Airing,PG-13 - Teens 13 or older,,TV Asahi,Sunrise,24,1995,Action
Kuttsukiboshi,OVA,Original,2,Finished Airing,R+ - Mild Nudity,,,Primastea,22,2010,Romance
SoniAni: Super Sonico The Animation,TV,Other,12,Finished Airing,PG-13 - Teens 13 or older,,Genco,White Fox,23,2014,Music
